Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Heating,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,SaleCondition,SalePrice
SawyerW,1Story,5,2004,2004,GasA,Y,1114,0,1114,1,3,1,6,0,576,Normal,159000
NAmes,1Story,5,1958,1965,GasA,Y,1339,0,1339,1,3,1,6,0,294,Abnorml,139000
NridgHt,2Story,8,2005,2006,GasA,Y,1158,1218,2376,3,4,1,9,1,853,Partial,325300
IDOTRR,1.5Unf,7,1930,1950,GasA,Y,1108,0,1108,1,3,1,6,1,280,Normal,139400
CollgCr,1Story,8,2002,2002,GasA,Y,1795,0,1795,2,3,1,7,1,534,Normal,230000
MeadowV,1Story,5,1976,1976,GasA,Y,1060,0,1060,1,3,1,6,1,572,Normal,129900
Sawyer,1Story,5,1968,2001,GasA,Y,1060,0,1060,1,3,1,6,1,270,Normal,154000
NridgHt,1Story,8,2007,2007,GasA,Y,1600,0,1600,2,3,1,7,1,890,Normal,256300
NAmes,1Story,5,1951,2000,GasA,Y,900,0,900,1,3,1,5,0,576,Normal,134800
NridgHt,1Story,8,2007,2008,GasA,Y,1704,0,1704,2,3,1,7,1,772,Normal,306000
NAmes,1Story,5,1957,1997,GasA,Y,1600,0,1600,1,2,1,6,2,319,Normal,207500
BrkSide,1Story,4,1927,1950,GasA,N,520,0,520,1,1,1,4,0,240,Normal,68500
IDOTRR,2Story,4,1920,1950,GasA,N,649,668,1317,1,3,1,6,0,250,Normal,40000
Sawyer,1Story,5,1966,2006,GasA,Y,1228,0,1228,1,3,1,6,0,271,Normal,149350
CollgCr,1Story,8,2007,2007,GasA,Y,1234,0,1234,2,3,1,7,0,484,Normal,179900
NAmes,1Story,5,1959,1959,GasA,Y,1700,0,1700,1,4,1,6,1,447,Normal,165500
NridgHt,1Story,9,2005,2005,GasA,Y,1561,0,1561,2,2,1,6,1,556,Normal,277500
NridgHt,2Story,8,2004,2005,GasA,Y,1132,1320,2452,3,4,1,9,1,691,Normal,309000
CollgCr,1Story,5,1994,1995,GasA,Y,1097,0,1097,1,3,1,6,0,672,Normal,145000
NAmes,1Story,5,1954,1990,GasA,Y,1297,0,1297,1,3,1,5,1,498,Normal,153000
NAmes,1Story,5,1953,2007,GasA,Y,1057,0,1057,1,3,1,5,0,246,Abnorml,109000
Edwards,1Story,4,1955,1955,GasA,N,1152,0,1152,2,2,2,6,0,0,AdjLand,82000
NAmes,1Story,6,1965,1965,GasA,Y,1324,0,1324,2,3,1,6,1,440,Abnorml,160000
Timber,1Story,5,1959,1959,GasA,Y,1328,0,1328,1,2,1,5,2,308,Normal,170000
SawyerW,SFoyer,5,1983,1983,GasA,Y,884,0,884,1,2,1,5,0,504,Normal,144000
CollgCr,1Story,5,1975,1980,GasA,Y,938,0,938,1,3,1,5,0,308,Normal,130250
NAmes,1Story,5,1959,1959,GasA,Y,1150,0,1150,1,3,1,6,0,300,Normal,141000
NridgHt,1Story,9,2005,2005,GasA,Y,1752,0,1752,2,2,1,6,1,576,Normal,319900
Mitchel,1.5Fin,7,2003,2003,GasA,Y,1518,631,2149,1,1,1,6,1,670,Abnorml,239686
Somerst,1Story,8,2006,2006,GasA,Y,1656,0,1656,2,3,1,7,0,826,Normal,249700
OldTown,2Story,4,1920,2008,GasA,Y,736,716,1452,2,2,3,8,0,0,Partial,113000
Sawyer,1Story,5,1966,1966,GasA,Y,955,0,955,1,3,1,6,0,386,Normal,127000
Gilbert,2Story,6,1997,1997,GasA,Y,794,676,1470,2,3,1,6,0,388,Normal,177000
BrkSide,1.5Fin,6,1934,1950,GasA,Y,816,0,1176,1,3,1,6,1,528,Normal,114500
IDOTRR,1Story,5,1963,1963,GasA,N,816,0,816,1,2,1,5,0,516,Normal,110000
Veenker,1Story,9,1981,1987,GasA,Y,1842,0,1842,0,0,1,5,1,894,Normal,385000
NAmes,SLvl,5,1955,1955,GasA,Y,1360,0,1360,1,3,1,6,1,572,Normal,130000
NAmes,1Story,6,1964,1964,GasA,Y,1425,0,1425,2,3,1,7,1,576,Normal,180500
Somerst,2Story,8,1999,2000,GasA,Y,983,756,1739,2,3,1,7,0,480,Abnorml,172500
CollgCr,2Story,7,2004,2004,GasA,Y,860,860,1720,2,3,1,7,0,565,Normal,196500
StoneBr,2Story,10,2006,2006,GasA,Y,1426,1519,2945,3,3,1,10,1,641,Partial,438780
CollgCr,1Story,5,1972,1972,GasA,Y,780,0,780,1,2,1,4,0,352,Normal,124900
SawyerW,1Story,6,2004,2004,GasA,Y,1158,0,1158,1,3,1,5,0,576,Partial,158000
IDOTRR,2.5Unf,5,1920,1996,GasA,N,581,530,1111,1,3,1,6,0,288,Normal,101000
NridgHt,1Story,8,2006,2006,GasA,Y,1370,0,1370,2,2,1,6,1,484,Normal,202500
OldTown,2Story,7,1921,1950,GasA,Y,902,808,1710,2,3,1,9,0,480,Normal,140000
CollgCr,2Story,7,1997,1998,GasA,Y,1057,977,2034,2,3,1,8,0,645,Normal,219500
NridgHt,2Story,8,2004,2005,GasA,Y,1143,1330,2473,2,4,1,9,1,852,Normal,317000
NAmes,1Story,7,1970,1989,GasA,Y,2207,0,2207,2,3,1,7,1,576,Normal,180000
CollgCr,1Story,7,2003,2003,GasA,Y,1479,0,1479,2,3,1,7,0,558,Normal,226000
OldTown,1Story,4,1945,1950,GasA,Y,747,0,747,1,2,1,4,0,220,Normal,80000
ClearCr,1.5Fin,7,1953,1953,GasW,Y,1304,983,2287,2,3,1,7,1,667,Normal,225000
NAmes,1Story,7,1973,1973,GasA,Y,2223,0,2223,2,3,1,8,2,516,Normal,244000
Mitchel,1Story,4,1982,2006,GasA,Y,845,0,845,1,2,1,4,0,360,Normal,129500
Gilbert,2Story,7,1998,1998,GasA,Y,885,833,1718,2,3,1,7,1,427,Normal,185000
NAmes,1Story,5,1954,2003,GasA,Y,1086,0,1086,1,3,1,6,0,490,Normal,144900
OldTown,2Story,3,1915,1950,GasA,N,840,765,1605,2,3,2,8,0,379,Normal,107400
MeadowV,SLvl,4,1973,1973,GasA,Y,526,462,988,1,2,1,5,0,297,Normal,91000
NAmes,1Story,4,1956,1956,GasA,Y,952,0,952,1,2,1,4,0,283,Normal,135750
BrkSide,1.5Fin,5,1948,2001,GasA,Y,1072,213,1285,1,2,1,6,0,240,Normal,127000
Sawyer,1Story,4,1968,1968,GasA,N,1768,0,1768,2,4,2,8,0,0,Normal,136500
OldTown,2Story,5,1910,1981,GasA,Y,682,548,1230,1,2,1,5,0,440,Normal,110000
NAmes,2Story,6,1968,1968,GasA,Y,1182,960,2142,2,4,1,8,1,509,Normal,193500
Mitchel,1Story,6,1998,1998,GasA,Y,1337,0,1337,2,2,1,5,0,405,Normal,153500
Somerst,1Story,8,2007,2007,GasA,Y,1563,0,1563,2,3,1,6,1,758,Normal,245000
NAmes,1Story,5,1960,1960,GasA,Y,1065,0,1065,1,3,1,6,0,461,Normal,126500
Gilbert,SLvl,7,1995,1996,GasA,Y,804,670,1474,2,3,1,7,1,400,Normal,168500
NoRidge,2Story,8,1991,1992,GasA,Y,1301,1116,2417,2,4,1,9,1,462,Normal,260000
Gilbert,2Story,6,2005,2005,GasA,Y,684,876,1560,2,3,1,6,1,400,Normal,174000
Somerst,2Story,6,2009,2009,GasA,Y,612,612,1224,2,2,1,4,0,528,Partial,164500
IDOTRR,1.5Fin,3,1915,1982,GasA,N,1013,0,1526,1,2,1,6,0,0,Abnorml,85000
CollgCr,1Story,4,1994,1995,GasA,Y,990,0,990,1,3,1,5,0,0,Normal,123600
NAmes,1Story,4,1950,1950,GasA,Y,1040,0,1040,1,2,1,4,0,420,Normal,109900
NAmes,1Story,5,1961,1961,GasA,Y,1235,0,1235,1,2,1,6,0,480,Abnorml,98600
Crawfor,1Story,5,1921,2006,GasA,Y,964,0,964,1,2,1,5,0,432,Normal,163500
OldTown,2.5Unf,6,1910,1998,GasW,N,1260,1031,2291,2,4,2,9,1,506,Normal,133900
CollgCr,2Story,6,1997,1997,GasA,Y,905,881,1786,2,3,1,7,0,684,Normal,204750
Gilbert,2Story,6,1993,1993,GasA,Y,680,790,1470,2,3,1,6,1,420,Normal,185000
CollgCr,1Story,7,1999,1999,GasA,Y,1588,0,1588,2,3,1,6,0,472,Normal,214000
Edwards,1Story,4,1965,1965,GasA,Y,960,0,960,1,3,1,6,0,432,Normal,94750
Edwards,1Story,5,1920,1950,GasA,N,835,0,835,1,2,1,5,0,366,Abnorml,83000
NAmes,1Story,4,1959,1959,GasA,Y,1225,0,1225,1,3,1,6,0,0,Normal,128950
NWAmes,1Story,6,1977,2001,GasA,Y,1610,0,1610,2,3,1,6,2,480,Normal,205000
SawyerW,2Story,6,1985,1985,GasA,Y,977,755,1732,2,3,1,7,1,476,Normal,178000
SawyerW,1Story,5,1979,1979,GasA,Y,1535,0,1535,2,4,2,8,0,410,Alloca,118964
CollgCr,1Story,7,2009,2009,GasA,Y,1226,0,1226,2,3,1,6,0,740,Normal,198900
IDOTRR,1.5Fin,7,1931,1950,GasA,Y,1226,592,1818,1,4,1,7,2,240,Normal,169500
Somerst,2Story,8,2003,2004,GasA,Y,1053,939,1992,2,3,1,9,1,648,Normal,250000
OldTown,1Story,4,1885,1995,GasA,Y,1047,0,1047,1,2,1,6,0,273,Normal,100000
OldTown,1Story,5,1948,1950,GasA,Y,789,0,789,1,2,1,5,0,250,Partial,115000
IDOTRR,1.5Fin,5,1919,2005,GasW,N,997,520,1517,2,3,1,7,0,0,Normal,115000
NWAmes,1Story,6,1977,1977,GasA,Y,1844,0,1844,2,3,1,7,1,546,Normal,190000
Edwards,1.5Fin,6,1954,1972,GasA,Y,1216,639,1855,2,4,1,7,0,325,Normal,136900
Gilbert,SLvl,7,2000,2000,GasA,Y,774,656,1430,2,3,1,7,1,400,Normal,180000
CollgCr,2Story,7,2007,2007,GasA,Y,1282,1414,2696,2,4,1,10,1,792,Partial,383970
Crawfor,1Story,6,1953,1953,GasA,Y,2259,0,2259,2,3,1,7,2,450,Abnorml,217000
Crawfor,2Story,6,1945,2002,GasA,Y,1436,884,2320,2,3,1,9,1,180,Normal,259500
Somerst,2Story,6,1999,1999,GasA,Y,729,729,1458,2,2,1,5,1,440,Normal,176000
Sawyer,1Story,5,1962,1962,GasA,Y,1092,0,1092,1,3,1,6,1,288,Normal,139000
Edwards,1Story,5,2006,2007,GasA,Y,1125,0,1125,1,2,1,5,0,430,Partial,155000
SawyerW,2Story,7,1990,1990,GasA,Y,1699,1523,3222,3,5,1,11,2,594,Normal,320000
CollgCr,2Story,6,2005,2006,GasA,Y,728,728,1456,2,3,1,8,1,390,Partial,163990
ClearCr,SLvl,6,1969,1969,GasA,Y,988,0,988,1,1,1,4,2,540,Normal,180000
IDOTRR,1.5Fin,4,1939,1950,GasA,Y,772,351,1123,1,3,1,4,0,264,Normal,100000
NAmes,1Story,6,1958,1958,GasA,Y,1080,0,1080,1,3,1,5,0,288,Normal,136000
SawyerW,1Story,6,1993,1993,GasA,Y,1199,0,1199,2,2,1,5,0,530,Normal,153900
NWAmes,1Story,6,1979,1998,GasA,Y,1586,0,1586,2,3,1,7,1,435,Normal,181000
IDOTRR,1.5Fin,6,1935,1982,GasA,N,520,0,754,1,2,1,5,0,0,Normal,84500
NPkVill,1Story,6,1976,1976,GasA,Y,958,0,958,2,2,1,5,1,440,Normal,128000
OldTown,1.5Unf,5,1930,1950,GasA,Y,840,0,840,1,3,1,5,1,0,Normal,87000
NAmes,2Story,6,1966,1966,GasA,Y,660,688,1348,1,3,1,6,1,453,Normal,155000
NAmes,1Story,5,1958,1991,GasA,Y,1053,0,1053,1,3,1,6,0,750,Abnorml,150000
NAmes,2Story,7,1966,1966,GasA,Y,1216,941,2157,2,4,1,8,2,487,Normal,226000
Gilbert,2Story,6,2000,2000,GasA,Y,1022,1032,2054,2,3,1,7,1,390,Normal,244000
NAmes,1Story,5,1959,2002,GasA,Y,1327,0,1327,1,3,1,7,0,624,Normal,150750
Timber,1Story,8,2001,2002,GasA,Y,1296,0,1296,2,2,1,6,0,471,Normal,220000
Sawyer,1Story,5,1968,1993,GasA,Y,1721,0,1721,2,3,1,7,1,440,Normal,180000
NWAmes,1Story,7,1970,1970,GasA,Y,1682,0,1682,2,3,1,7,1,530,Normal,174000
NAmes,1Story,5,1967,1967,GasA,Y,1214,0,1214,2,3,1,5,1,318,Normal,143000
Mitchel,1Story,7,1988,1989,GasA,Y,1959,0,1959,3,5,2,9,0,766,Family,171000
CollgCr,2Story,8,1999,2000,GasA,Y,1004,848,1852,2,3,1,7,2,660,Normal,230000
CollgCr,2Story,6,1997,1997,GasA,Y,928,836,1764,2,3,1,7,0,470,Normal,231500
NAmes,1Story,4,1971,1971,GasA,Y,864,0,864,1,3,1,5,1,0,Normal,115000
CollgCr,1Story,7,2005,2005,GasA,Y,1734,0,1734,2,3,1,7,0,660,Normal,260000
NAmes,1.5Fin,5,1952,1952,GasA,Y,910,475,1385,2,4,1,6,0,720,Normal,166000
CollgCr,1Story,7,1999,1999,GasA,Y,1501,0,1501,2,3,1,6,0,577,Normal,204000
Sawyer,1Story,5,1963,1963,GasA,Y,1728,0,1728,2,6,2,10,0,504,Abnorml,125000
Edwards,2Story,6,2004,2006,GasA,Y,970,739,1709,2,3,1,7,0,380,Normal,130000
BrkSide,1Story,5,1931,1993,GasA,Y,875,0,875,1,2,1,5,0,180,Normal,105000
Gilbert,2Story,7,2001,2001,GasA,Y,884,1151,2035,2,3,1,8,1,434,Normal,222500
SawyerW,1Story,7,2004,2005,GasA,Y,1080,0,1080,1,3,1,6,0,0,Normal,141000
BrkSide,1.5Fin,5,1936,1950,GasA,Y,896,448,1344,1,3,1,7,0,240,Normal,115000
CollgCr,1Story,5,1975,1975,GasA,Y,969,0,969,1,3,1,5,0,440,Normal,122000
NridgHt,1Story,8,2007,2008,GasA,Y,1710,0,1710,2,2,1,6,1,866,Partial,372402
NWAmes,2Story,6,1971,1971,GasA,Y,1097,896,1993,2,4,1,8,1,495,Normal,190000
ClearCr,1Story,6,1960,1975,GasA,Y,1252,0,1252,1,1,1,4,1,564,Normal,235000
OldTown,1Story,6,1923,1950,GasA,Y,1200,0,1200,1,4,1,7,0,312,Family,125000
Edwards,1.5Fin,6,1924,1950,Grav,N,572,524,1096,1,2,1,5,0,0,Normal,79000
NAmes,1Story,5,1950,1950,GasA,Y,1040,0,1040,1,2,1,5,0,625,Normal,109500
Timber,2Story,8,2009,2010,GasA,Y,774,1194,1968,2,4,1,8,1,680,Partial,269500
Somerst,2Story,7,2004,2005,GasA,Y,991,956,1947,2,3,1,8,1,678,Normal,254900
Gilbert,2Story,7,2005,2006,GasA,Y,1392,1070,2462,2,4,1,9,1,576,Partial,320000
Veenker,1Story,6,1984,1984,GasA,Y,1232,0,1232,2,3,1,6,0,516,Normal,162500
NridgHt,2Story,9,2003,2004,GasA,Y,1572,1096,2668,2,3,1,10,2,726,Normal,412500
NridgHt,1Story,7,2005,2005,GasA,Y,1541,0,1541,2,3,1,7,1,532,Partial,220000
OldTown,1.5Unf,4,1956,1956,GasA,Y,882,0,882,1,1,1,4,0,0,Normal,103200
OldTown,1Story,6,1926,2004,GasA,Y,1149,467,1616,2,3,1,5,0,216,Normal,152000
Edwards,1.5Fin,5,1940,1999,GasA,Y,808,547,1355,2,4,2,6,0,0,Normal,127500
ClearCr,1Story,5,1955,1993,GasA,Y,1867,0,1867,1,2,1,7,3,303,Normal,190000
NridgHt,2Story,8,2007,2007,GasA,Y,1610,551,2161,1,3,1,8,1,789,Partial,325624
Gilbert,2Story,7,2004,2004,GasA,Y,840,880,1720,2,3,1,7,1,440,Normal,183500
Timber,1Story,8,1981,1981,GasA,Y,1707,0,1707,2,2,1,6,1,511,Normal,228000
OldTown,1.5Fin,5,1941,1950,GasA,Y,854,0,1382,1,2,1,7,0,660,Normal,128500
NAmes,1Story,6,1960,1960,GasA,Y,1656,0,1656,1,3,1,7,2,528,Normal,215000
StoneBr,2Story,7,1987,1987,GasA,Y,1064,703,1767,2,2,1,5,1,504,Normal,239000
NAmes,1Story,6,1961,1961,GasA,Y,1362,0,1362,1,3,1,6,1,504,Normal,163000
Timber,1Story,6,1986,1986,GasA,Y,1651,0,1651,2,3,1,7,1,616,Normal,184000
Edwards,1Story,6,1950,2001,GasA,Y,2158,0,2158,2,4,1,7,1,576,Normal,243000
ClearCr,2Story,6,1988,1989,GasA,Y,1164,896,2060,2,4,1,8,1,521,Normal,211000
Sawyer,1.5Fin,5,1958,1958,GasA,Y,1252,668,1920,2,4,1,8,1,451,Normal,172500
StoneBr,1Story,9,2008,2009,GasA,Y,2234,0,2234,2,1,1,9,1,1166,Partial,501837
OldTown,1Story,5,1923,2006,GasA,Y,968,0,968,1,2,1,5,0,480,Normal,100000
Somerst,2Story,6,2000,2000,GasA,Y,769,756,1525,2,3,1,5,1,440,Normal,177000
Crawfor,2Story,7,1920,1950,GasA,Y,901,901,1802,1,4,1,9,1,216,Normal,200100
Edwards,1Story,5,1957,2006,GasA,Y,1340,0,1340,1,3,1,7,1,252,Normal,120000
OldTown,1.5Fin,7,2003,2003,GasA,Y,1362,720,2082,2,3,1,6,0,484,Normal,200000
BrkSide,1.5Fin,5,1908,1991,GasA,Y,936,316,1252,1,3,1,5,0,576,Normal,127000
OldTown,2.5Fin,10,1892,1993,GasA,Y,1518,1518,3608,2,4,1,12,2,840,Normal,475000
Mitchel,SLvl,7,1990,1991,GasA,Y,1217,0,1217,2,3,1,6,0,497,Normal,173000
OldTown,1.5Fin,5,1916,1987,GasA,Y,808,704,1656,2,3,1,8,0,180,Normal,135000
SawyerW,SFoyer,5,1979,1979,GasA,Y,1224,0,1224,0,2,2,6,2,528,Alloca,153337
StoneBr,1Story,8,2001,2002,GasA,Y,1593,0,1593,1,0,1,5,1,682,Normal,286000
Crawfor,2Story,8,1932,1994,GasA,Y,1549,1178,2727,2,3,1,10,2,440,Normal,315000
NAmes,2Story,7,1972,2004,GasA,Y,725,754,1479,1,4,1,7,0,484,Normal,184000
CollgCr,1Story,7,1999,1999,GasA,Y,1431,0,1431,2,3,1,6,0,666,Normal,192000
Edwards,2Story,7,2004,2004,GasA,Y,970,739,1709,2,3,1,7,0,380,Normal,130000
CollgCr,1Story,5,1972,1972,GasA,Y,864,0,864,1,3,1,5,0,352,Normal,127000
NPkVill,2Story,6,1976,1976,GasA,Y,855,601,1456,2,3,1,7,1,440,Normal,148500
Somerst,1Story,7,2007,2007,GasA,Y,1726,0,1726,2,3,1,8,1,786,Partial,311872
NAmes,2Story,8,1918,1990,GasA,Y,1360,1360,3112,2,4,1,8,1,795,Abnorml,235000
OldTown,2.5Fin,6,1912,1950,GasA,Y,929,929,2229,1,5,1,8,0,0,Abnorml,104000
NridgHt,1Story,8,2004,2005,GasA,Y,1713,0,1713,2,3,1,7,1,856,Normal,274900
Edwards,1Story,4,2003,2004,GasA,Y,1121,0,1121,2,2,1,5,0,440,Normal,140000
Mitchel,1Story,6,1977,1977,GasA,Y,1279,0,1279,2,3,1,6,2,473,Normal,171500
OldTown,1.5Fin,6,1924,1950,GasA,Y,865,445,1310,2,2,1,6,0,398,Normal,112000
CollgCr,1Story,6,2004,2004,GasA,Y,848,0,848,1,1,1,3,1,420,Normal,149000
OldTown,1.5Fin,5,1947,1950,GasA,Y,720,564,1284,1,2,1,5,0,240,Normal,110000
Gilbert,1Story,7,1990,1990,GasA,Y,1442,0,1442,2,3,1,5,0,500,Normal,180500
Sawyer,1Story,5,1962,1962,GasA,Y,1696,0,1696,1,3,1,8,1,349,Normal,143900
NAmes,1Story,4,1960,1960,GasA,Y,1100,0,1100,1,3,1,6,1,312,Normal,141000
SawyerW,2Story,7,1988,1989,GasA,Y,1180,882,2062,2,3,1,7,1,454,Normal,277000
NAmes,1Story,6,1964,1964,GasA,Y,1092,0,1092,1,3,1,6,0,504,Normal,145000
Edwards,1Story,5,1925,1950,GasA,N,864,0,864,1,2,1,5,0,0,Normal,98000
Edwards,1Story,6,2009,2009,GasA,Y,1212,0,1212,2,3,1,6,0,460,Normal,186000
Somerst,2Story,7,2009,2009,GasA,Y,932,920,1852,2,3,1,7,1,644,Partial,252678
CollgCr,1Story,5,1995,1995,GasA,Y,990,0,990,1,3,1,5,0,576,Normal,156000
CollgCr,2Story,6,1977,1977,GasA,Y,689,703,1392,1,3,1,6,0,299,Normal,161750
NAmes,1Story,5,1957,1996,GasA,Y,1236,0,1236,1,2,1,6,1,447,Normal,134450
CollgCr,1Story,7,2004,2004,GasA,Y,1436,0,1436,2,3,1,8,0,484,Normal,210000
OldTown,2Story,4,1925,1950,GasA,N,810,518,1328,1,3,1,8,0,210,Family,107000
Crawfor,1.5Fin,7,1939,2006,GasA,Y,1137,817,1954,1,3,1,8,2,431,Normal,311500
Blmngtn,1Story,7,2005,2006,GasA,Y,1248,0,1248,2,2,1,5,0,438,Partial,167240
CollgCr,1Story,7,2006,2006,GasA,Y,1498,0,1498,2,2,1,5,0,675,Partial,204900
Gilbert,2Story,6,2002,2002,GasA,Y,1010,1257,2267,2,4,1,8,1,390,Normal,200000
NWAmes,2Story,6,1975,1975,GasA,Y,811,741,1552,2,3,1,6,1,434,Normal,179900
NAmes,1Story,4,1971,1971,GasA,Y,864,0,864,1,2,1,4,0,576,Abnorml,97000
NridgHt,1Story,10,2003,2003,GasA,Y,2392,0,2392,2,3,1,8,1,968,Normal,386250
BrDale,2Story,5,1971,1971,GasA,Y,630,672,1302,2,3,1,6,0,280,Abnorml,112000
NoRidge,2Story,7,1995,1995,GasA,Y,1214,1306,2520,2,4,1,9,1,721,Abnorml,290000
BrDale,2Story,6,1970,1970,GasA,Y,483,504,987,1,2,1,5,0,280,Normal,106000
Sawyer,1Story,5,1967,1967,GasA,Y,912,0,912,1,3,1,5,1,336,Normal,125000
Blmngtn,1Story,7,2005,2006,GasA,Y,1555,0,1555,2,2,1,7,1,430,Normal,192500
NAmes,1Story,6,1959,1959,GasA,Y,1194,0,1194,1,3,1,6,0,312,Normal,148000
NoRidge,2Story,8,1995,1996,GasA,Y,1490,1304,2794,2,4,1,9,1,810,Normal,403000
BrDale,2Story,6,1972,1972,GasA,Y,483,504,987,1,2,1,5,1,288,Normal,94500
CollgCr,1Story,5,1976,1976,GasA,Y,894,0,894,1,3,1,5,0,308,Normal,128200
Gilbert,2Story,6,2002,2002,GasA,Y,860,1100,1960,2,4,1,8,2,440,Normal,216500
BrDale,2Story,6,1971,1971,GasA,Y,483,504,987,1,2,1,5,0,264,Normal,89500
CollgCr,1Story,7,2004,2004,GasA,Y,1414,0,1414,2,3,1,6,0,494,Normal,185500
SawyerW,2Story,7,1993,2003,GasA,Y,1014,730,1744,2,3,1,7,0,457,Normal,194500
NridgHt,1Story,8,2007,2007,GasA,Y,1694,0,1694,2,3,1,7,0,818,Partial,318000
Edwards,1.5Fin,6,1945,1950,GasA,Y,798,689,1487,1,3,1,7,1,220,Normal,113000
Somerst,1Story,8,2008,2008,GasA,Y,1566,0,1566,2,3,1,7,0,750,Normal,262500
OldTown,1Story,5,1945,1997,GasA,Y,866,0,866,1,2,1,4,0,0,Normal,110500
OldTown,1.5Fin,5,1900,1950,GasA,N,889,551,1440,1,3,1,6,0,352,Normal,79000
SawyerW,2Story,6,1980,1980,GasA,Y,626,591,1217,1,3,1,6,1,288,Normal,120000
SawyerW,2Story,7,1994,2002,GasA,Y,1222,888,2110,2,3,1,8,2,463,Normal,205000
NWAmes,1Story,7,1988,1988,GasA,Y,1872,0,1872,2,3,1,6,1,604,Normal,241500
OldTown,2Story,6,1910,1950,GasA,N,908,1020,1928,2,4,2,9,0,440,Normal,137000
NAmes,1Story,6,1954,1954,GasA,Y,1375,0,1375,1,2,1,5,1,451,Normal,140000
CollgCr,2Story,7,2003,2003,GasA,Y,840,828,1668,2,3,1,8,0,500,Normal,180000
ClearCr,1.5Fin,6,1958,2006,GasA,Y,1444,700,2144,2,4,1,7,2,389,Normal,277000
BrkSide,1Story,3,1940,1966,GasA,Y,1306,0,1306,1,3,1,6,0,0,Normal,76500
Crawfor,1Story,8,2006,2007,GasA,Y,1625,0,1625,2,2,1,5,1,538,Family,235000
SawyerW,2Story,6,2004,2004,GasA,Y,798,842,1640,2,3,1,6,0,520,Normal,173000
NAmes,SLvl,6,1964,1991,GasA,Y,1302,0,1302,2,3,1,7,0,309,Normal,158000
NAmes,1Story,5,1957,1957,GasA,Y,1314,0,1314,1,3,1,5,0,294,Normal,145000
Gilbert,2Story,7,1999,1999,GasA,Y,1005,1286,2291,2,4,1,8,1,429,Normal,230000
Somerst,2Story,6,2003,2003,GasA,Y,864,864,1728,2,3,1,7,0,673,Normal,207500
CollgCr,1Story,7,2006,2006,GasA,Y,1604,0,1604,2,3,1,8,1,660,Abnorml,220000
CollgCr,2Story,7,2001,2001,GasA,Y,963,829,1792,2,3,1,7,1,564,Normal,231500
OldTown,1Story,5,1956,1956,GasA,Y,882,0,882,1,2,1,4,0,308,Normal,97000
NAmes,SLvl,6,1962,1962,GasA,Y,1382,0,1382,1,3,1,6,1,884,Normal,176000
CollgCr,2Story,8,2007,2007,GasA,Y,1482,1092,2574,2,3,1,10,1,868,Partial,276000
Sawyer,SLvl,6,1977,1995,GasA,Y,1212,0,1212,1,3,1,6,1,492,Normal,151000
OldTown,1.5Fin,5,1929,2001,GasA,Y,926,0,1316,1,3,1,6,0,484,Normal,130000
OldTown,1Story,5,1925,2004,GasA,N,764,0,764,1,2,1,4,0,504,Normal,73000
